{'loss': 1.1891, 'learning_rate': 1.9973849741991974e-05, 'epoch': 0.05}
{'loss': 1.3707, 'learning_rate': 1.9973813601188804e-05, 'epoch': 0.05}
{'loss': 0.9437, 'learning_rate': 1.9973777435461534e-05, 'epoch': 0.05}
{'loss': 1.0115, 'learning_rate': 1.9973741244810252e-05, 'epoch': 0.05}
{'loss': 1.5249, 'learning_rate': 1.9973705029235046e-05, 'epoch': 0.05}
{'loss': 1.0874, 'learning_rate': 1.997366878873601e-05, 'epoch': 0.05}
{'loss': 0.5119, 'learning_rate': 1.9973632523313234e-05, 'epoch': 0.05}
{'loss': 0.8805, 'learning_rate': 1.9973596232966804e-05, 'epoch': 0.05}
{'loss': 0.7899, 'learning_rate': 1.997355991769682e-05, 'epoch': 0.05}
{'loss': 1.3945, 'learning_rate': 1.9973523577503364e-05, 'epoch': 0.05}
{'loss': 1.3569, 'learning_rate': 1.997348721238653e-05, 'epoch': 0.05}
{'loss': 1.1376, 'learning_rate': 1.997345082234641e-05, 'epoch': 0.05}
{'loss': 0.4894, 'learning_rate': 1.9973414407383094e-05, 'epoch': 0.05}
{'loss': 0.8066, 'learning_rate': 1.9973377967496673e-05, 'epoch': 0.05}
{'loss': 0.7896, 'learning_rate': 1.9973341502687237e-05, 'epoch': 0.05}
{'loss': 0.8585, 'learning_rate': 1.997330501295488e-05, 'epoch': 0.05}
{'loss': 0.7586, 'learning_rate': 1.9973268498299688e-05, 'epoch': 0.05}
{'loss': 0.7758, 'learning_rate': 1.9973231958721758e-05, 'epoch': 0.05}
{'loss': 0.9698, 'learning_rate': 1.9973195394221175e-05, 'epoch': 0.05}
{'loss': 0.6044, 'learning_rate': 1.9973158804798037e-05, 'epoch': 0.05}
{'loss': 0.7203, 'learning_rate': 1.9973122190452435e-05, 'epoch': 0.05}
{'loss': 0.7055, 'learning_rate': 1.9973085551184453e-05, 'epoch': 0.05}
{'loss': 1.1903, 'learning_rate': 1.9973048886994194e-05, 'epoch': 0.05}
{'loss': 0.6788, 'learning_rate': 1.997301219788174e-05, 'epoch': 0.05}
{'loss': 1.2757, 'learning_rate': 1.9972975483847186e-05, 'epoch': 0.05}
{'loss': 1.104, 'learning_rate': 1.9972938744890624e-05, 'epoch': 0.05}
{'loss': 1.2096, 'learning_rate': 1.9972901981012142e-05, 'epoch': 0.05}
{'loss': 0.9187, 'learning_rate': 1.997286519221184e-05, 'epoch': 0.05}
{'loss': 1.5389, 'learning_rate': 1.9972828378489804e-05, 'epoch': 0.05}
{'loss': 0.898, 'learning_rate': 1.9972791539846127e-05, 'epoch': 0.05}
{'loss': 0.8356, 'learning_rate': 1.9972754676280904e-05, 'epoch': 0.05}
{'loss': 0.6977, 'learning_rate': 1.997271778779422e-05, 'epoch': 0.05}
{'loss': 0.5017, 'learning_rate': 1.9972680874386173e-05, 'epoch': 0.05}
{'loss': 1.27, 'learning_rate': 1.9972643936056856e-05, 'epoch': 0.05}
{'loss': 0.9961, 'learning_rate': 1.9972606972806358e-05, 'epoch': 0.05}
{'loss': 0.6414, 'learning_rate': 1.9972569984634775e-05, 'epoch': 0.05}
{'loss': 0.8751, 'learning_rate': 1.9972532971542193e-05, 'epoch': 0.05}
{'loss': 0.5176, 'learning_rate': 1.997249593352871e-05, 'epoch': 0.05}
{'loss': 0.6229, 'learning_rate': 1.997245887059442e-05, 'epoch': 0.05}
{'loss': 0.9089, 'learning_rate': 1.9972421782739412e-05, 'epoch': 0.05}
{'loss': 1.3363, 'learning_rate': 1.9972384669963774e-05, 'epoch': 0.05}
{'loss': 1.2554, 'learning_rate': 1.997234753226761e-05, 'epoch': 0.05}
{'loss': 0.6545, 'learning_rate': 1.9972310369651005e-05, 'epoch': 0.05}
{'loss': 0.5381, 'learning_rate': 1.9972273182114054e-05, 'epoch': 0.05}
{'loss': 0.7692, 'learning_rate': 1.997223596965685e-05, 'epoch': 0.05}
{'loss': 1.227, 'learning_rate': 1.9972198732279484e-05, 'epoch': 0.05}
{'loss': 1.1271, 'learning_rate': 1.9972161469982053e-05, 'epoch': 0.05}
{'loss': 0.8311, 'learning_rate': 1.9972124182764645e-05, 'epoch': 0.05}
{'loss': 0.665, 'learning_rate': 1.9972086870627358e-05, 'epoch': 0.05}
{'loss': 0.5924, 'learning_rate': 1.9972049533570287e-05, 'epoch': 0.05}
{'loss': 1.5812, 'learning_rate': 1.9972012171593514e-05, 'epoch': 0.05}
{'loss': 1.1677, 'learning_rate': 1.9971974784697147e-05, 'epoch': 0.05}
{'loss': 1.2604, 'learning_rate': 1.997193737288127e-05, 'epoch': 0.05}
{'loss': 0.5423, 'learning_rate': 1.9971899936145975e-05, 'epoch': 0.05}
{'loss': 1.2843, 'learning_rate': 1.9971862474491367e-05, 'epoch': 0.05}
{'loss': 1.3496, 'learning_rate': 1.9971824987917525e-05, 'epoch': 0.05}
{'loss': 0.6853, 'learning_rate': 1.9971787476424552e-05, 'epoch': 0.05}
{'loss': 1.118, 'learning_rate': 1.997174994001254e-05, 'epoch': 0.05}
{'loss': 0.8684, 'learning_rate': 1.9971712378681583e-05, 'epoch': 0.05}
{'loss': 1.2455, 'learning_rate': 1.9971674792431773e-05, 'epoch': 0.05}
{'loss': 0.731, 'learning_rate': 1.997163718126321e-05, 'epoch': 0.05}
{'loss': 1.3411, 'learning_rate': 1.9971599545175976e-05, 'epoch': 0.05}
{'loss': 1.0558, 'learning_rate': 1.9971561884170175e-05, 'epoch': 0.05}
{'loss': 0.9518, 'learning_rate': 1.99715241982459e-05, 'epoch': 0.05}
{'loss': 1.1044, 'learning_rate': 1.997148648740324e-05, 'epoch': 0.05}
{'loss': 1.2438, 'learning_rate': 1.9971448751642297e-05, 'epoch': 0.05}
{'loss': 0.9883, 'learning_rate': 1.9971410990963158e-05, 'epoch': 0.05}
{'loss': 0.9094, 'learning_rate': 1.997137320536592e-05, 'epoch': 0.05}
{'loss': 0.9373, 'learning_rate': 1.997133539485068e-05, 'epoch': 0.05}
{'loss': 0.7607, 'learning_rate': 1.9971297559417528e-05, 'epoch': 0.05}
{'loss': 0.7984, 'learning_rate': 1.997125969906656e-05, 'epoch': 0.05}
{'loss': 1.2497, 'learning_rate': 1.9971221813797875e-05, 'epoch': 0.05}
{'loss': 0.8032, 'learning_rate': 1.9971183903611563e-05, 'epoch': 0.05}
{'loss': 0.6103, 'learning_rate': 1.997114596850772e-05, 'epoch': 0.05}
{'loss': 0.9098, 'learning_rate': 1.9971108008486438e-05, 'epoch': 0.05}
{'loss': 1.0014, 'learning_rate': 1.9971070023547815e-05, 'epoch': 0.05}
{'loss': 0.7415, 'learning_rate': 1.997103201369195e-05, 'epoch': 0.05}
{'loss': 1.3522, 'learning_rate': 1.9970993978918928e-05, 'epoch': 0.05}
{'loss': 1.3516, 'learning_rate': 1.997095591922885e-05, 'epoch': 0.05}
{'loss': 1.0608, 'learning_rate': 1.9970917834621813e-05, 'epoch': 0.05}
{'loss': 0.7574, 'learning_rate': 1.9970879725097907e-05, 'epoch': 0.05}
{'loss': 1.199, 'learning_rate': 1.9970841590657234e-05, 'epoch': 0.05}
